task_name,description,category,frequency,priority,estimated_duration,status
Clean ice machine,Deep clean and sanitize ice machine,cleaning,monthly,high,60,pending
Check HVAC filters,Replace air filters in main dining room,maintenance,monthly,medium,30,pending
Deep clean fryer,Complete deep clean of all fryers,cleaning,weekly,high,120,pending
Inspect fire extinguishers,Monthly safety inspection,safety,monthly,high,15,pending
Clean hood vents,Clean kitchen hood and exhaust vents,cleaning,monthly,medium,90,pending
Calibrate scales,Calibrate all kitchen scales,maintenance,quarterly,low,20,pending
Repair bar sink,Fix leak in bar area sink,repair,as_needed,high,45,in_progress
Replace light bulbs,Replace burnt out bulbs in dining room,maintenance,as_needed,low,15,pending
Clean grease traps,Monthly grease trap cleaning,cleaning,monthly,high,90,pending
Test emergency lighting,Monthly emergency system test,safety,monthly,medium,30,pending
